text,label
I can't handle the results anymore,Overwhelmed
I feel exhausted because of my roommate,Overwhelmed
I feel optimistic about my roommate,Hopeful
my friend made my day!,Joy
I care so much about my future,Love
I can't deal with my grades,Frustration
I care so much about the results,Love
I feel so sad about my colleagues,Sadness
Nobody cares about my parents,Loneliness
I can't stand my family anymore!,Anger
I'm scared of my exams,Fear
my future is too much for me,Overwhelmed
I can't stand my project anymore!,Anger
the assignment is so frustrating,Frustration
Wow! I didn't expect my friend,Surprise
Thank you my exams for everything,Grateful
I feel exhausted because of my team,Overwhelmed
Wow! I didn't expect the situation,Surprise
I really love my friend,Love
Maybe my team will improve,Hopeful
I'm scared of the results,Fear
I can't stand my colleagues anymore!,Anger
I can't handle my friend anymore,Overwhelmed
I really appreciate the assignment,Grateful
I feel nervous about the assignment,Fear
my friend is so frustrating,Frustration
Why does the situation always happen?,Frustration
I feel so sad about my parents,Sadness
I wish I had someone to talk to about my life,Loneliness
I hope my colleagues will get better,Hopeful
the assignment is too much for me,Overwhelmed
I can't stop crying because of my friend,Sadness
Nobody cares about my school,Loneliness
Why does my exams always make me upset?,Anger
I care so much about my exams,Love
I feel so alone because of my exams,Loneliness
Wow! I didn't expect my future,Surprise
Maybe my friend will improve,Hopeful
the assignment made my day!,Joy
I feel nervous about my siblings,Fear
Nobody cares about the teacher,Loneliness
I feel so sad about the situation,Sadness
I care so much about the situation,Love
Wow! I didn't expect my grades,Surprise
I'm grateful for my parents,Grateful
I'm grateful for my colleagues,Grateful
my family is too much for me,Overwhelmed
the assignment totally surprised me,Surprise
I really appreciate the assignment,Grateful
Why does my exams always happen?,Frustration
my parents means the world to me,Love
I'm thrilled because my team,Joy
my project made my day!,Joy
I can't deal with my roommate,Frustration
Wow! I didn't expect my exams,Surprise
I feel so happy about my future,Joy
I feel optimistic about my roommate,Hopeful
Wow! I didn't expect my grades,Surprise
I feel so alone because of the results,Loneliness
I feel nervous about the teacher,Fear
I'm grateful for my friend,Grateful
I really love my school,Love
I care so much about the results,Love
